MAG	Control
MEGAHIT-MetaBAT2-S937.179	729.906298930108
MEGAHIT-MetaBAT2-S937.180	1721.82453775803
MEGAHIT-MetaBAT2-S938.116	2393.0989117457
MEGAHIT-MetaBAT2-S938.148	66.3490160317434
MEGAHIT-MetaBAT2-S938.161	1335.50737973947
MEGAHIT-MetaBAT2-S938.190	2040.15305860645
MEGAHIT-MetaBAT2-S938.43	461.357544364234
MEGAHIT-MetaBAT2-S938.66	718.237200720825
MEGAHIT-MetaBAT2-S939.26	494.150627817265
MEGAHIT-MetaBAT2-S941.34	241.280775480975
MEGAHIT-MetaBAT2-S941.86	485.130714145368
MEGAHIT-MetaBAT2-S942.110	404.151904184551
MEGAHIT-MetaBAT2-S942.153	754.208104252129
MEGAHIT-MetaBAT2-S942.30	988.32740941244
MEGAHIT-MetaBAT2-S942.31	1087.16902437114
MEGAHIT-MetaBAT2-S942.43	952.33756484775
MEGAHIT-MetaBAT2-S943.132	763.786256287132
MEGAHIT-MetaBAT2-S944.121	549.816856266798
MEGAHIT-MetaBAT2-S944.127	405.853011749091
MEGAHIT-MetaBAT2-S944.143	15.4949462881055
MEGAHIT-MetaBAT2-S944.7	190.689840713001
MEGAHIT-MetaBAT2-S944.84	1107.27771816594
MEGAHIT-MetaBAT2-S944.97	273.021415344688
MEGAHIT-MetaBAT2-S945.103	828.782662358343
MEGAHIT-MetaBAT2-S945.11	682.256350535501
MEGAHIT-MetaBAT2-S945.128	800.032361795471
MEGAHIT-MetaBAT2-S945.135	1096.15448828132
MEGAHIT-MetaBAT2-S945.140	564.798606588716
MEGAHIT-MetaBAT2-S945.141	2957.01832088398
MEGAHIT-MetaBAT2-S945.152	829.98693948676
MEGAHIT-MetaBAT2-S945.168	785.623216372908
MEGAHIT-MetaBAT2-S945.32	414.220953676271
MEGAHIT-MetaBAT2-S945.70	371.185613792893
MEGAHIT-MetaBAT2-S945.92	2816.4174681582
MEGAHIT-MetaBAT2-S945.93	822.863644966716
MEGAHIT-MetaBAT2-S946.102	516.117786723087
MEGAHIT-MetaBAT2-S946.13	831.826988733501
MEGAHIT-MetaBAT2-S946.155	170.484192603666
MEGAHIT-MetaBAT2-S946.20	955.30674065432
MEGAHIT-MetaBAT2-S946.206	53.5143679371478
MEGAHIT-MetaBAT2-S946.235	606.539659226837
MEGAHIT-MetaBAT2-S946.39	122.002341116813
MEGAHIT-MetaBAT2-S946.44	138.197706938055
MEGAHIT-MetaBAT2-S946.49	506.221553138754
MEGAHIT-MetaBAT2-S946.6	669.526801102523
MEGAHIT-MetaBAT2-S947.111	3324.51145389976
MEGAHIT-MetaBAT2-S947.28	279.617054655707
MEGAHIT-MetaBAT2-S947.47	36.1499763024417
MEGAHIT-MetaBAT2-S947.49	482.515141606139
MEGAHIT-MetaBAT2-S947.59	275.110395635884
MEGAHIT-MetaBAT2-S947.6	688.681147395956
MEGAHIT-MetaBAT2-S947.8	911.123947526389
MEGAHIT-MetaBAT2-S947.97	221.209515126685
MEGAHIT-MetaBAT2-S948.11	1085.58775287757
MEGAHIT-MetaBAT2-S948.142	1106.17823368398
