"ko_id"	"SampleID"	"summedLFQ"	"corral"	"Tto"	"sex"
"K00013"	"X993"	96587.9028296	"C7"	"control"	"M"
"K00014"	"X932"	0	"C6"	"stress"	"F"
"K00014"	"X933"	0	"C6"	"stress"	"M"
"K00014"	"X934"	0	"C6"	"stress"	"F"
"K00014"	"X935"	0	"C6"	"stress"	"M"
"K00014"	"X937"	0	"C6"	"stress"	"M"
"K00014"	"X938"	0	"C6"	"stress"	"F"
"K00014"	"X939"	0	"C6"	"stress"	"M"
"K00014"	"X940"	17604.664589254	"C5"	"control"	"M"
"K00014"	"X941"	0	"C5"	"control"	"F"
"K00014"	"X942"	0	"C5"	"control"	"F"
"K00014"	"X943"	0	"C5"	"control"	"F"
"K00014"	"X944"	0	"C5"	"control"	"M"
"K00014"	"X945"	0	"C5"	"control"	"M"
"K00014"	"X946"	0	"C5"	"control"	"F"
"K00014"	"X947"	0	"C5"	"control"	"M"
"K00014"	"X948"	0	"C4"	"stress"	"M"
"K00014"	"X949"	0	"C4"	"stress"	"F"
"K00014"	"X950"	0	"C4"	"stress"	"M"
"K00014"	"X951"	0	"C4"	"stress"	"F"
"K00014"	"X952"	28189.6868165223	"C4"	"stress"	"M"
"K00014"	"X953"	79593.820396927	"C4"	"stress"	"M"
"K00014"	"X954"	0	"C4"	"stress"	"F"
"K00014"	"X955"	0	"C3"	"control"	"M"
"K00014"	"X956"	0	"C3"	"control"	"F"
"K00014"	"X957"	0	"C3"	"control"	"F"
"K00014"	"X958"	0	"C3"	"control"	"F"
"K00014"	"X959"	0	"C3"	"control"	"M"
"K00014"	"X960"	0	"C3"	"control"	"M"
"K00014"	"X961"	0	"C3"	"control"	"M"
"K00014"	"X962"	0	"C3"	"control"	"F"
"K00014"	"X963"	0	"C10"	"stress"	"M"
"K00014"	"X964"	0	"C10"	"stress"	"M"
"K00014"	"X965"	20970.2467002419	"C10"	"stress"	"F"
"K00014"	"X966"	0	"C10"	"stress"	"F"
